addr	size	mangled	demangled
08081940	59	_ZNSt8_Rb_treeImSt4pairIKmjESt10_Select1stIS2_ESt4lessImESaIS2_EE8_M_eraseEPSt13_Rb_tree_nodeIS2_E	std::_Rb_tree<unsigned long,std::pair<unsigned long const,unsigned int>,std::_Select1st<std::pair<unsigned long const,unsigned int>>,std::less<unsigned long>,std::allocator<std::pair<unsigned long const,unsigned int>>>::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const,unsigned int>> *)
08081980	59	_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE8_M_eraseEPSt13_Rb_tree_nodeIiE	std::_Rb_tree<int,int,std::_Identity<int>,std::less<int>,std::allocator<int>>::_M_erase(std::_Rb_tree_node<int> *)
080819c0	136	_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE9_M_insertEPSt18_Rb_tree_node_baseS7_RKi	std::_Rb_tree<int,int,std::_Identity<int>,std::less<int>,std::allocator<int>>::_M_insert(std::_Rb_tree_node_base *,std::_Rb_tree_node_base *,int const&)
08081a50	236	_ZNSt8_Rb_treeIiiSt9_IdentityIiESt4lessIiESaIiEE13insert_uniqueERKi	std::_Rb_tree<int,int,std::_Identity<int>,std::less<int>,std::allocator<int>>::insert_unique(int const&)
08081b40	103	_ZN14KItemEnvCustom9GetEnvMsgEv	KItemEnvCustom::GetEnvMsg(void)
08081bb0	368	_ZNSt6vectorI13KITEM_CONSUMESaIS0_EE13_M_insert_auxEN9__gnu_cxx17__normal_iteratorIPS0_S2_EERKS0_	std::vector<KITEM_CONSUME,std::allocator<KITEM_CONSUME>>::_M_insert_aux(__gnu_cxx::__normal_iterator<KITEM_CONSUME*,std::vector<KITEM_CONSUME,std::allocator<KITEM_CONSUME>>>,KITEM_CONSUME const&)
08081d20	85	_ZN8KItemSet8SearchIDEm	KItemSet::SearchID(unsigned long)
08081d80	36	_ZN8KItemSet8FindFreeEv	KItemSet::FindFree(void)
08081db0	34	_ZN8KItemSet5SetIDEi	KItemSet::SetID(int)
08081de0	83	_ZN8KItemSet14GetAbradeRangeEP5KItemii	KItemSet::GetAbradeRange(KItem *,int,int)
08081e40	24	_ZN8KItemSet12GetItemCountEi	KItemSet::GetItemCount(int)
08081e60	71	_ZN8KItemSet19CheckTradeLogFilterEi	KItemSet::CheckTradeLogFilter(int)
08081eb0	16	__tcf_1_3	__tcf_1_3
08081ec0	521	_Z21gCalcItemFortuneValuePK5KItem	gCalcItemFortuneValue(KItem const*)
080820d0	521	_Z22gCalcItemExchangeValuePK5KItem	gCalcItemExchangeValue(KItem const*)
080822e0	88	_ZN8KItemSet12BackItemInfoEv	KItemSet::BackItemInfo(void)
08082340	612	_ZN8KItemSet8Add_ImplEP5KItemiN8DupedDef8OP_LEVELERNS2_9OP_RESULTE	KItemSet::Add_Impl(KItem *,int,DupedDef::OP_LEVEL,DupedDef::OP_RESULT &)
080825b0	175	_ZN8KItemSet6RemoveEii19enumItemConsumeModei	KItemSet::Remove(int,int,enumItemConsumeMode,int)
08082660	47	_ZN8KItemSet14CanLogThisItemEP5KItem	KItemSet::CanLogThisItem(KItem *)
08082690	3855	_ZN8KItemSet4InitEv	KItemSet::Init(void)
080835a0	184	_ZN8KItemSetD1Ev	KItemSet::~KItemSet()
08083660	16	__tcf_0_3	__tcf_0_3
08083670	246	_ZN8KItemSet3AddEP5KItemiN8DupedDef8OP_LEVELERNS2_9OP_RESULTEP8IItemEnv	KItemSet::Add(KItem *,int,DupedDef::OP_LEVEL,DupedDef::OP_RESULT &,IItemEnv *)
08083770	312	_ZN8KItemSetC2Ev	KItemSet::KItemSet(void)
080838b0	312	_ZN8KItemSetC1Ev	KItemSet::KItemSet(void)
080839f0	114	_Z41__static_initialization_and_destruction_0ii_7	_Z41__static_initialization_and_destruction_0ii_7
08083a70	19	_GLOBAL__I_ItemSet	`global constructor keyed to'ItemSet
08083a90	184	_ZN8KItemSetD2Ev	KItemSet::~KItemSet()
08083b50	813	_ZN8KItemSet8Add_ImplEiPK9ITEMPARAMPii	KItemSet::Add_Impl(int,ITEMPARAM const*,int *,int)
